delivery_id,delivery_status,delivery_time,rider_id
1,Pending,43 minutes,416
2,Completed,23 minutes,459
3,Cancelled,47 minutes,423
4,Pending,47 minutes,141
5,Pending,41 minutes,339
6,Cancelled,54 minutes,470
7,Pending,15 minutes,167
8,Cancelled,17 minutes,250
9,Cancelled,50 minutes,172
10,Completed,25 minutes,9
11,Cancelled,27 minutes,60
12,Cancelled,24 minutes,191
13,Completed,31 minutes,219
14,Completed,16 minutes,401
15,Completed,54 minutes,113
16,Completed,46 minutes,325
17,Cancelled,48 minutes,349
18,Completed,11 minutes,64
19,Cancelled,22 minutes,311
20,Cancelled,17 minutes,201
21,Completed,33 minutes,427
22,Completed,12 minutes,311
23,Completed,22 minutes,493
24,Completed,55 minutes,64
25,Pending,23 minutes,373
26,Completed,53 minutes,12
27,Cancelled,37 minutes,318
28,Completed,26 minutes,36
29,Completed,14 minutes,332
30,Pending,32 minutes,224
31,Completed,13 minutes,258
32,Pending,12 minutes,306
33,Completed,54 minutes,201
34,Completed,26 minutes,184
35,Cancelled,40 minutes,430
36,Cancelled,20 minutes,358
37,Cancelled,23 minutes,495
38,Completed,60 minutes,347
39,Completed,20 minutes,176
40,Cancelled,26 minutes,61
41,Cancelled,38 minutes,341
42,Completed,10 minutes,242
43,Cancelled,36 minutes,461
44,Cancelled,42 minutes,470
45,Pending,51 minutes,183
46,Pending,52 minutes,129
47,Completed,45 minutes,354
48,Completed,39 minutes,380
49,Completed,31 minutes,379
50,Completed,44 minutes,144
51,Completed,25 minutes,391
52,Pending,32 minutes,313
53,Pending,53 minutes,184
54,Cancelled,50 minutes,438
55,Cancelled,18 minutes,367
56,Pending,34 minutes,384
57,Pending,51 minutes,42
58,Completed,48 minutes,99
59,Cancelled,31 minutes,82
60,Completed,24 minutes,327
61,Pending,34 minutes,364
62,Cancelled,46 minutes,448
63,Pending,12 minutes,206
64,Cancelled,46 minutes,215
65,Cancelled,55 minutes,24
66,Completed,38 minutes,33
67,Pending,54 minutes,81
68,Pending,43 minutes,454
69,Pending,45 minutes,310
70,Completed,12 minutes,254
71,Pending,29 minutes,429
72,Pending,13 minutes,415
73,Pending,22 minutes,281
74,Cancelled,15 minutes,429
75,Cancelled,18 minutes,8
76,Pending,53 minutes,214
77,Pending,10 minutes,110
78,Completed,55 minutes,387
79,Completed,53 minutes,271
80,Cancelled,16 minutes,98
81,Completed,48 minutes,333
82,Completed,29 minutes,144
83,Cancelled,21 minutes,52
84,Pending,35 minutes,322
85,Completed,11 minutes,141
86,Pending,60 minutes,60
87,Pending,18 minutes,335
88,Cancelled,51 minutes,331
89,Pending,17 minutes,447
90,Completed,27 minutes,436
91,Completed,12 minutes,21
92,Completed,53 minutes,133
93,Cancelled,30 minutes,485
94,Pending,46 minutes,466
95,Completed,57 minutes,493
96,Cancelled,48 minutes,336
97,Pending,55 minutes,330
98,Pending,50 minutes,223
99,Pending,44 minutes,92
100,Completed,34 minutes,301
101,Pending,10 minutes,71
102,Completed,27 minutes,171
103,Pending,60 minutes,189
104,Cancelled,15 minutes,174
105,Cancelled,12 minutes,22
106,Pending,20 minutes,77
107,Cancelled,28 minutes,185
108,Pending,45 minutes,67
109,Pending,17 minutes,245
110,Cancelled,25 minutes,479
111,Completed,29 minutes,92
112,Cancelled,56 minutes,37
113,Pending,35 minutes,428
114,Pending,29 minutes,213
115,Completed,16 minutes,288
116,Pending,40 minutes,173
117,Pending,17 minutes,246
118,Completed,54 minutes,255
119,Pending,12 minutes,155
120,Pending,57 minutes,352
121,Completed,20 minutes,321
122,Cancelled,34 minutes,413
123,Cancelled,15 minutes,34
124,Completed,22 minutes,384
125,Completed,13 minutes,198
126,Completed,16 minutes,202
127,Cancelled,43 minutes,149
128,Pending,41 minutes,404
129,Cancelled,55 minutes,348
130,Completed,37 minutes,43
131,Pending,24 minutes,134
132,Cancelled,59 minutes,86
133,Pending,22 minutes,184
134,Completed,14 minutes,421
135,Cancelled,11 minutes,463
136,Cancelled,38 minutes,386
137,Cancelled,22 minutes,61
138,Pending,35 minutes,132
139,Completed,51 minutes,22
140,Completed,49 minutes,75
141,Completed,22 minutes,235
142,Pending,33 minutes,280
143,Completed,16 minutes,306
144,Pending,19 minutes,289
145,Pending,50 minutes,349
146,Pending,43 minutes,254
147,Cancelled,30 minutes,427
148,Pending,41 minutes,326
149,Cancelled,22 minutes,278
150,Cancelled,24 minutes,5
151,Pending,55 minutes,493
152,Cancelled,30 minutes,419
153,Pending,12 minutes,269
154,Completed,26 minutes,309
155,Completed,34 minutes,299
156,Pending,55 minutes,362
157,Pending,14 minutes,410
158,Completed,43 minutes,445
159,Completed,14 minutes,116
160,Completed,12 minutes,154
