order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
1,1641,26,Country,2024-04-04,17:44:00,Completed,388.3
2,1783,91,Five,2024-08-11,14:12:00,Completed,439.83
3,1411,27,Also,2023-12-23,11:20:00,Completed,178.94
4,946,86,Guy,2025-04-05,19:08:00,Pending,330.09
5,1206,24,Teach,2024-09-27,12:51:00,Pending,229.79
6,2428,70,Heart,2023-11-09,15:11:00,Completed,572.42
7,1474,3,Pick,2025-01-10,10:59:00,Pending,185.54
8,1038,16,Win,2023-07-12,15:38:00,Pending,318.49
9,687,35,Himself,2024-04-14,13:16:00,Completed,376.86
10,4037,10,Skin,2024-06-21,17:56:00,Cancelled,333.12
11,2425,5,Region,2024-10-15,16:44:00,Pending,113.7
12,1822,26,West,2024-09-23,21:32:00,Completed,556.24
13,1268,50,Heavy,2023-10-05,21:06:00,Pending,160.81
14,4896,49,City,2023-07-17,15:11:00,Cancelled,375.1
15,4840,94,Relate,2023-10-26,21:00:00,Cancelled,371.46
16,3565,94,Strong,2023-08-13,18:23:00,Cancelled,387.2
17,1421,91,Medical,2024-05-11,13:54:00,Pending,549.02
18,800,89,Chance,2024-05-21,20:15:00,Pending,461.83
19,1003,56,Yeah,2023-11-09,11:12:00,Pending,177.6
20,3256,23,Forward,2024-09-26,20:53:00,Completed,460.66
21,1909,65,Character,2024-08-08,13:05:00,Completed,411.0
22,1452,22,Note,2024-06-21,15:38:00,Pending,277.42
23,1918,37,Leg,2024-10-07,12:56:00,Cancelled,512.78
24,4976,55,Forget,2023-06-26,11:35:00,Cancelled,222.5
25,1663,68,Indeed,2024-06-08,15:23:00,Pending,110.19
26,4993,53,Listen,2024-03-15,13:33:00,Pending,262.81
27,4892,61,Rather,2023-12-25,13:11:00,Cancelled,224.38
28,161,11,Bag,2023-10-07,20:46:00,Cancelled,405.46
29,3518,8,Cost,2024-06-08,14:40:00,Cancelled,459.95
30,294,3,Increase,2024-05-06,18:08:00,Cancelled,443.51
31,3284,29,Charge,2024-10-07,16:58:00,Cancelled,405.19
32,1166,54,Thus,2023-08-18,15:09:00,Pending,283.08
33,3066,21,Project,2025-01-12,11:15:00,Cancelled,524.05
34,4952,67,Movie,2024-09-28,13:55:00,Cancelled,289.53
35,865,92,True,2024-08-06,13:43:00,Completed,288.0
36,1750,15,Visit,2024-08-10,18:22:00,Cancelled,464.52
37,1540,51,Sister,2024-10-11,13:06:00,Completed,288.9
38,452,78,Answer,2025-03-30,20:45:00,Completed,514.64
39,786,61,Their,2024-10-07,12:58:00,Cancelled,388.2
40,3806,3,Congress,2024-12-10,13:10:00,Pending,539.52
41,4163,35,Reveal,2025-04-24,18:57:00,Cancelled,205.61
42,3413,66,Out,2023-06-13,11:13:00,Completed,463.21
43,4252,11,Minute,2023-08-12,17:16:00,Cancelled,285.6
44,4261,30,Republican,2024-02-16,10:59:00,Completed,321.33
45,3850,66,Base,2023-11-12,15:11:00,Cancelled,248.96
46,1449,100,Sort,2025-02-13,12:10:00,Cancelled,462.54
47,1222,100,That,2024-02-16,21:53:00,Completed,248.11
48,2676,73,Read,2024-09-24,16:42:00,Pending,181.16
49,1332,56,Carry,2024-09-25,11:08:00,Cancelled,265.37
50,4356,61,Yes,2023-07-14,19:37:00,Cancelled,467.96
51,2789,67,Year,2025-01-19,21:48:00,Completed,171.51
52,3985,24,Message,2024-09-30,14:00:00,Completed,447.25
53,2595,26,Two,2024-08-23,18:30:00,Cancelled,561.63
54,4702,65,Just,2025-01-20,14:50:00,Cancelled,403.01
55,519,27,Though,2023-06-19,14:31:00,Completed,163.43
56,4475,1,Would,2024-11-08,14:26:00,Completed,340.07
57,4874,76,Western,2024-07-03,15:35:00,Cancelled,407.0
58,1615,3,High,2023-10-03,18:38:00,Cancelled,562.49
59,2257,14,Tv,2023-08-19,15:07:00,Cancelled,299.03
60,4270,98,Husband,2024-07-25,16:40:00,Completed,184.87
61,1887,20,Back,2024-12-22,15:23:00,Cancelled,290.6
62,3299,100,Unit,2024-10-26,17:19:00,Pending,275.85
63,2330,38,Test,2024-06-17,16:20:00,Completed,114.06
64,527,51,Know,2023-12-04,17:42:00,Completed,217.23
65,4650,16,Board,2024-02-07,12:32:00,Pending,186.93
66,4800,30,Back,2023-09-08,16:54:00,Cancelled,222.54
67,4094,6,Indicate,2024-06-02,17:18:00,Cancelled,128.75
68,4117,8,For,2025-03-26,16:20:00,Cancelled,150.01
69,22,97,Soldier,2023-09-24,20:26:00,Cancelled,104.25
70,3666,97,Fish,2023-07-29,17:46:00,Completed,127.6
71,3208,71,Include,2024-11-10,16:30:00,Completed,157.77
72,765,30,Also,2024-05-24,12:29:00,Cancelled,493.12
73,1779,3,Wide,2024-03-31,20:39:00,Pending,586.1
74,4639,18,Discussion,2025-04-11,14:49:00,Pending,463.66
75,304,10,Several,2024-02-27,16:29:00,Completed,134.35
76,3139,99,Explain,2024-07-19,17:35:00,Completed,115.55
77,3119,34,Cause,2023-06-11,13:39:00,Completed,385.82
78,4685,69,Though,2024-03-04,14:21:00,Completed,330.61
79,2673,27,Factor,2023-08-25,19:09:00,Pending,264.69
80,3523,1,Want,2025-04-15,17:14:00,Cancelled,354.23
81,4965,80,Firm,2025-05-08,10:10:00,Completed,104.53
82,2348,81,Goal,2024-08-11,13:37:00,Completed,254.33
83,1827,55,Reduce,2024-04-02,20:33:00,Completed,251.8
84,3010,64,South,2024-06-21,16:44:00,Cancelled,435.75
85,2945,92,Machine,2024-02-04,10:12:00,Cancelled,113.99
86,4956,99,She,2024-06-04,14:34:00,Cancelled,241.35
